itemid,count,percentage,label,abbreviation,linksto,category,unitname,param_type,lownormalvalue,highnormalvalue,type,is_in_extract
228299,56115,0.7667973927658819,Goal Richmond-RAS Scale,Goal Richmond-RAS Scale,chartevents,Pain/Sedation,,Text,,,6.0,0
223936,55675,0.760784903185253,Radial Pulse R,Radial Pulse R,chartevents,Cardiovascular (Pulses),,Text,,,7.0,0
223948,55257,0.7550730380836556,Radial Pulse L,Radial Pulse L,chartevents,Cardiovascular (Pulses),,Text,,,7.0,0
224088,54964,0.7510692666129186,Pressure Reducing Device,Pressure Reducing Device,chartevents,Treatments,,Text,,,10.0,0
228298,54786,0.7486369412825733,Daily Wake Up,Daily Wake Up,chartevents,Pain/Sedation,,Text,,,4.0,0
228305,54465,0.7442505568385237,ST Segment Monitoring On,ST Segment Monitoring On,chartevents,Alarms,,Checkbox,,,,0
223796,54357,0.7427747639414602,Untoward Effect,Untoward Effect,chartevents,Pain/Sedation,,Text,,,14.0,0
223834,54196,0.7405747393449119,O2 Flow,O2 Flow,chartevents,Respiratory,L/min,Numeric,,,,0
225664,53891,0.7364069908856123,Glucose finger stick (range 70-100),Glucose FS (range 70 -100),chartevents,Labs,None,Numeric,,,,1
228332,53405,0.7297659228488269,Delirium assessment,Delirium assessment,chartevents,Pain/Sedation,,Text,,,3.0,0
224087,53281,0.7280714939670133,Therapeutic Bed,Therapeutic Bed,chartevents,Treatments,,Text,,,11.0,0
225103,53147,0.7262404175947309,Intravenous  / IV access prior to admission,Intravenous  / IV access prior to admission,chartevents,Adm History/FHPA,,Checkbox,,,,0
224005,51340,0.7015482160670119,Flatus,Flatus,chartevents,GI/GU,,Text,,,3.0,0
227368,49469,0.6759814706002925,20 Gauge Dressing Occlusive,20 Gauge Dressing Occlusive,chartevents,Access Lines - Peripheral,,Checkbox,,,,0
228412,49381,0.6747789726841666,Strength R Arm,Strength R Arm,chartevents,Neurological,,Text,,,6.0,0
228409,49373,0.6746696546917916,Strength L Arm,Strength L Arm,chartevents,Neurological,,Text,,,6.0,0
228411,49362,0.6745193424522758,Strength R Leg,Strength R Leg,chartevents,Neurological,,Text,,,6.0,0
228410,49359,0.6744783482051352,Strength L Leg,Strength L Leg,chartevents,Neurological,,Text,,,6.0,0
226138,49288,0.6735081510228065,20 Gauge placed in outside facility,20 Gauge placed in outside facility,chartevents,Access Lines - Peripheral,,Checkbox,,,,0
228397,49243,0.6728932373156967,Commands Response,Commands Response,chartevents,Neurological,,Text,,,3.0,0
228236,49131,0.6713627854224458,Insulin pump,Insulin pump,chartevents,Adm History/FHPA,,Checkbox,,,,0
228414,48996,0.6695180443011164,Speech,Speech,chartevents,Neurological,,Text,,,5.0,0
228398,48715,0.6656782498189421,Commands,Commands,chartevents,Neurological,,Text,,,5.0,0
225072,47761,0.6526420792282149,Living situation,Living situation,chartevents,Adm History/FHPA,,Text,,,4.0,0
228868,45943,0.6277995654609803,Assistance,Assistance,chartevents,Treatments,,Text,,,8.0,0
225092,44396,0.6066601986854512,Self ADL,Self ADL,chartevents,Adm History/FHPA,,Checkbox,,,,0
228393,43148,0.5896065918749402,Bath,Bath,chartevents,Treatments,,Text,,,3.0,0
228100,43031,0.5880078162364548,20 Gauge placed in the field,20 Gauge placed in the field,chartevents,Access Lines - Peripheral,,Checkbox,,,,0
228879,42865,0.5857394678946721,Education Readiness/Motivation,Education Readiness/Motivation,chartevents,Restraint/Support Systems,,Text,,,3.0,0
228880,42777,0.5845369699785463,Education Existing Knowledge,Education Existing Knowledge,chartevents,Restraint/Support Systems,,Text,,,3.0,0
225094,42746,0.584113362758093,History of slips / falls,History of slips / falls,chartevents,Adm History/FHPA,,Checkbox,,,,0
225099,42596,0.5820636504010603,Judgement,Judgement,chartevents,Adm History/FHPA,,Text,,,4.0,0
225097,42297,0.5779778904360422,Balance,Balance,chartevents,Adm History/FHPA,,Text,,,4.0,0
228399,42191,0.5765294270370724,Facial Droop,Facial Droop,chartevents,Neurological,,Text,,,3.0,0
227349,41811,0.5713368223992566,High risk (>51) interventions,High risk (>51) interventions,chartevents,Restraint/Support Systems,,Checkbox,,,,0
225668,41708,0.5699293532474277,Lactic Acid,Lactic Acid,chartevents,Labs,None,Numeric,,,,1
223985,41385,0.5655156393052841,Respiratory Pattern,Respiratory Pattern,chartevents,Pulmonary,,Text,,,7.0,0
223990,41310,0.5644907831267679,Respiratory Effort,Respiratory Effort,chartevents,Pulmonary,,Text,,,7.0,0
224651,41300,0.564354135636299,Ectopy Frequency 1,Ectopy Frequency 1,chartevents,Routine Vital Signs,,Text,,,5.0,0
224084,40415,0.552260832729807,Activity,Activity ,chartevents,Treatments,,Text,,,6.0,0
228648,40307,0.5507850398327435,Home TF,Home TF,chartevents,Adm History/FHPA,,Checkbox,,,,0
224640,40120,0.5482297317609762,Service,Service,chartevents,General,,Text,,,8.0,0
224017,39952,0.5459340539210997,GU Catheter Size,GU Catheter Size,chartevents,GI/GU,,Text,,,7.0,0
225106,39927,0.5455924351949276,ETOH,ETOH,chartevents,Adm History/FHPA,,Checkbox,,,,0
228649,39500,0.5397575873519083,Pressure Ulcer Present,Pressure Ulcer Present,chartevents,Adm History/FHPA,,Checkbox,,,,0
228013,39341,0.5375848922534537,20 G Phlebitis Scale,20 G Phlebitis Scale,chartevents,Access Lines - Peripheral,,Text,,,5.0,0
225118,39287,0.536846995804922,Difficulty swallowing,Difficulty swallowing,chartevents,Adm History/FHPA,,Checkbox,,,,0
228014,39204,0.5357128216340307,20 G Infiltration Scale,20 G Infiltration Scale,chartevents,Access Lines - Peripheral,,Text,,,5.0,0
227367,38787,0.5300146212814801,18 Gauge Dressing Occlusive,18 Gauge Dressing Occlusive,chartevents,Access Lines - Peripheral,,Checkbox,,,,0
226137,38670,0.5284158456429948,18 Gauge placed in outside facility,18 Gauge placed in outside facility,chartevents,Access Lines - Peripheral,,Checkbox,,,,0
225184,38431,0.5251499706207895,Eye Care,Eye Care,chartevents,Treatments,,Checkbox,,,,0
225087,38235,0.5224716798076003,Visual / hearing deficit,Visual / hearing deficit,chartevents,Adm History/FHPA,,Checkbox,,,,0
223905,37778,0.5162268894931744,Cough Reflex,Cough Reflex,chartevents,Neurological,,Text,,,3.0,0
225113,37758,0.5159535945122368,Currently experiencing pain,Currently experiencing pain,chartevents,Adm History/FHPA,,Checkbox,,,,0
225126,37543,0.5130156734671568,Dialysis patient,Dialysis patient,chartevents,Adm History/FHPA,,Checkbox,,,,0
223904,37529,0.5128243669805004,Gag Reflex,Gag Reflex,chartevents,Neurological,,Text,,,3.0,0
225120,36827,0.503231713149588,Appetite,Appetite,chartevents,Adm History/FHPA,,Text,,,5.0,0
224639,36802,0.5028900944234159,Daily Weight,Daily Weight,chartevents,General,kg,Numeric,,,,1
227687,36233,0.49511485221573903,Tobacco Use History,Tobacco Use History,chartevents,Adm History/FHPA,,Text,,,4.0,0
223835,36200,0.4946639154971919,Inspired O2 Fraction,FiO2,chartevents,Respiratory,None,Numeric,,,,1
225110,36075,0.4929558218663314,Recreational drug use,Recreational drug use,chartevents,Adm History/FHPA,,Checkbox,,,,0
220644,34871,0.4765034640138834,ALT,ALT,chartevents,Labs,None,Numeric,,,,1
220587,34859,0.4763394870253208,AST,AST,chartevents,Labs,None,Numeric,,,,1
225101,34835,0.47601153304819555,Use of assistive devices,Use of assistive devices,chartevents,Adm History/FHPA,,Text,,,5.0,0
225690,34728,0.474549404900179,Total Bilirubin,Total Bilirubin,chartevents,Labs,None,Numeric,,,,1
225067,34565,0.47232205080553696,Is the spokesperson the Health Care Proxy,Is the spokesperson the Health Care Proxy,chartevents,Adm History/FHPA,,Checkbox,,,,0
225612,34378,0.46976674273376967,Alkaline Phosphate,Alkaline Phosphate,chartevents,Labs,None,Numeric,,,,1
223758,34177,0.46702012817534605,Code Status,Code Status,chartevents,General,,Text,,,5.0,0
225122,34066,0.46550334103114194,Special diet,Special diet,chartevents,Adm History/FHPA,,Checkbox,,,,0
228099,33460,0.4572225031087304,18 Gauge placed in the field,18 Gauge placed in the field,chartevents,Access Lines - Peripheral,,Checkbox,,,,0
225124,33400,0.4564026181659174,Unintentional weight loss >10 lbs.,Unintentional weight loss >10 lbs.,chartevents,Adm History/FHPA,,Checkbox,,,,0
225074,32928,0.44995285661578827,Any fear in relationships,Any fear in relationships,chartevents,Adm History/FHPA,,Checkbox,,,,0
225078,32672,0.446454680859786,Social work consult,Social work consult,chartevents,Adm History/FHPA,,Checkbox,,,,0
223830,32618,0.4457167844112543,PH (Arterial),PH (Arterial),chartevents,Labs,None,Numeric,,,,1
225698,32370,0.4423279266476271,TCO2 (calc) Arterial,TCO2 (calc) Arterial,chartevents,Labs,None,Numeric,,,,1
220224,32370,0.4423279266476271,Arterial O2 pressure,PO2 (Arterial),chartevents,Labs,mmHg,Numeric,,,,0
220235,32370,0.4423279266476271,Arterial CO2 Pressure,PCO2 (Arterial),chartevents,Labs,mmHg,Numeric,,,,1
224828,32370,0.4423279266476271,Arterial Base Excess,Arterial Base Excess,chartevents,Labs,None,Numeric,,,,0
224794,31239,0.4268730954756016,Stool Color,Stool Color,chartevents,GI/GU,,Text,,,9.0,0
229321,31233,0.4267911069813203,Activity / Mobility (JH-HLM),Activity / Mobility (JH-HLM),chartevents,Treatments,,Text,,,10.0,0
224011,31105,0.4250420191033192,Stool Consistency,Stool Consistency,chartevents,GI/GU,,Text,,,7.0,0
229322,31040,0.4241538104152717,Breathing pattern/effort,Breathing pattern/effort,chartevents,Pulmonary,,Text,,,18.0,0
225811,30868,0.4218034735792077,CV - past medical history,CV - PMH,chartevents,Adm History/FHPA,,Text,,,9.0,0
225667,30806,0.4209562591383009,Ionized Calcium,Ionized Calcium,chartevents,Labs,None,Numeric,,,,1
226180,30670,0.41909785326792476,Sexuality / reproductive problems,Sexuality / reproductive problems,chartevents,Adm History/FHPA,,Checkbox,,,,0
228011,30279,0.4137549363905932,18 G Phlebitis Scale,18 G Phlebitis Scale,chartevents,Access Lines - Peripheral,,Text,,,5.0,0
228012,30161,0.4121424960030609,18 G Infiltration Scale,18 G Infiltration Scale,chartevents,Access Lines - Peripheral,,Text,,,5.0,0
220339,30152,0.41201951326163894,PEEP set,PEEP set,chartevents,Respiratory,cmH2O,Numeric,,,,1
224687,30120,0.41158224129213866,Minute Volume,Minute Volume,chartevents,Respiratory,L/min,Numeric,,12.100000381469727,,0
224785,30094,0.4112269578169197,GI #1 Tube Type,GI #1 Tube Type,chartevents,GI/GU,,Text,,,10.0,0
224685,29998,0.4099151419084189,Tidal Volume (observed),Tidal Volume (observed),chartevents,Respiratory,mL,Numeric,299.0,750.0,,1
220293,29984,0.4097238354217625,Minute Volume Alarm - High,MV Alarm - High,chartevents,Alarms,L/min,Numeric,,,,0
224697,29982,0.4096965059236687,Mean Airway Pressure,Mean Airway Pressure,chartevents,Respiratory,cmH2O,Numeric,,,,0
223873,29970,0.4095325289351061,Paw High,Paw High,chartevents,Respiratory,cmH2O,Numeric,,,,0
223876,29961,0.40940954619368414,Apnea Interval,Apnea Interval,chartevents,Respiratory,sec,Numeric,,,,0
224695,29956,0.4093412224484497,Peak Insp. Pressure,Peak Insp. Pressure,chartevents,Respiratory,cmH2O,Numeric,,,,1
220292,29954,0.409313892950356,Minute Volume Alarm - Low,MV Alarm - Low,chartevents,Alarms,L/min,Numeric,,,,0
224689,29947,0.40921823970702775,Respiratory Rate (spontaneous),Respiratory Rate (spontaneous),chartevents,Respiratory,insp/min,Numeric,,,,1
223848,29851,0.40790642379852693,Ventilator Type,Ventilator Type,chartevents,Respiratory,,Text,,,8.0,0
223874,29823,0.4075238108252142,Vti High,Vti High,chartevents,Respiratory,mL,Numeric,,,,0
224690,29724,0.4061710006695727,Respiratory Rate (Total),Respiratory Rate (Total),chartevents,Respiratory,insp/min,Numeric,,36.0,,1
224007,29695,0.40577472294721306,GI #1 Intub Site,GI #1 Intub Site,chartevents,GI/GU,,Text,,,5.0,0
225076,29523,0.40342438611114906,Emotional / physical / sexual harm by partner or close relation,Emotional / physical / sexual harm,chartevents,Adm History/FHPA,,Checkbox,,,,0
225641,29468,0.4026728249135705,Differential-Lymphs,Differential-Lymphs,chartevents,Labs,None,Numeric,,,,0
225642,29467,0.4026591601645236,Differential-Monos,Differential-Monos,chartevents,Labs,None,Numeric,,,,0
225640,29466,0.4026454954154767,Differential-Eos,Differential-Eos,chartevents,Labs,None,Numeric,,,,0
225643,29466,0.4026454954154767,Differential-Neuts,Differential-Neuts,chartevents,Labs,None,Numeric,,,,0
225639,29466,0.4026454954154767,Differential-Basos,Differential-Basos,chartevents,Labs,None,Numeric,,,,0
229326,29422,0.4020442464574138,CAM-ICU MS Change,CAM-ICU MS Change,chartevents,Pain/Sedation,,Text,,,2.0,0
224865,29331,0.4008007542941474,Flow Sensitivity,Flow Sensitivity,chartevents,Respiratory,,Text,,,2.0,0
224786,29328,0.40075976004700675,GI #1 Tube Status,GI #1 Tube Status,chartevents,GI/GU,,Text,,,5.0,0
227945,29283,0.40014484633989694,Restraint (Non-violent),Restraint (Non-violent),chartevents,Restraint/Support Systems,,Text,,,2.0,0
224692,29280,0.40010385209275634,Flow Pattern,Flow Pattern,chartevents,Respiratory,,Text,,,2.0,0
223875,29220,0.3992839671499433,Fspn High,Fspn High,chartevents,Respiratory,insp/min,Numeric,,,,0
225978,29167,0.3985597354504585,Slope,Slope,chartevents,Respiratory,,Text,,,2.0,0
224735,28901,0.3949249122039874,Flow Rate (variable/fixed),Flow Rate (variable/fixed),chartevents,Respiratory,,Text,,,2.0,0
227517,28786,0.3933534660635957,Humidification,Humidification,chartevents,Respiratory,,Text,,,2.0,0
229323,28723,0.3924925868736421,Current Dyspnea Assessment,Current Dyspnea Assessment,chartevents,Pulmonary,,Text,,,11.0,0
