count,percentage,itemid,label,abbreviation,linksto,category,unitname,param_type,lownormalvalue,highnormalvalue
70273,0.9602629097716621,220621,Glucose (serum),Glucose (serum),chartevents,Labs,None,Numeric,,
70181,0.9590057528593487,220228,Hemoglobin,Hemoglobin,chartevents,Labs,g/dl,Numeric,,
70144,0.958500157144614,227457,Platelet Count,Platelet Count,chartevents,Labs,None,Numeric with tag,,
70134,0.9583635096541452,220546,WBC,WBC,chartevents,Labs,None,Numeric,,
69855,0.9545510446700647,223783,Pain Location,Pain Location,chartevents,Pain/Sedation,,Text,,
69477,0.9493857695303426,223991,Cough Effort,Cough Effort,chartevents,Pulmonary,,Text,,
69138,0.9447534196034489,220635,Magnesium,Magnesium,chartevents,Labs,None,Numeric,,
68950,0.9421844467826348,223752,Non-Invasive Blood Pressure Alarm - Low,NBP Alarm - Low,chartevents,Alarms,mmHg,Numeric,,
68940,0.942047799292166,223751,Non-Invasive Blood Pressure Alarm - High,NBP Alarm - High,chartevents,Alarms,mmHg,Numeric,,
68790,0.9399980869351334,227240,NBP Alarm Source,NBP Alarm Source,chartevents,Alarms,,Text,,
68719,0.9390278897528047,224016,Urine Color,Urine Color,chartevents,GI/GU,,Text,,
68287,0.9331247181645509,224072,Education Learner,Education Learner,chartevents,Restraint/Support Systems,,Text,,
68223,0.9322501742255503,224073,Education Topic,Education Topic,chartevents,Restraint/Support Systems,,Text,,
68153,0.9312936417922685,224076,Education Barrier,Education Barrier,chartevents,Restraint/Support Systems,,Text,,
68148,0.931225318047034,224077,Education Method,Education Method,chartevents,Restraint/Support Systems,,Text,,
68081,0.9303097798608928,224079,Education Response,Education Response,chartevents,Restraint/Support Systems,,Text,,
67985,0.928997963952392,224876,Urine Appearance,Urine Appearance,chartevents,GI/GU,,Text,,
67912,0.9280004372719695,227944,Side Rails,Side Rails,chartevents,Restraint/Support Systems,,Text,,
67835,0.9269482515953594,227969,Safety Measures,Safety Measures,chartevents,Restraint/Support Systems,,Text,,
67593,0.9236413823260136,225677,Phosphorous,Phosphorous,chartevents,Labs,None,Numeric,,
67547,0.923012803869857,225625,Calcium non-ionized,Calcium non-ionized,chartevents,Labs,None,Numeric,,
67397,0.9209630915128244,223935,PostTib. Pulses R,PostTib Pulses R,chartevents,Cardiovascular (Pulses),,Text,,
67353,0.9203618425547615,223947,PostTib. Pulses L,PostTib Pulses L,chartevents,Cardiovascular (Pulses),,Text,,
67186,0.9180798294639319,223794,Pain Level Acceptable,Pain Level Acceptable,chartevents,Pain/Sedation,,Text,,
66890,0.9140350637460543,223791,Pain Level,Pain Level,chartevents,Pain/Sedation,,Text,,
65821,0.8994274470149356,224023,Support Systems,Support Systems,chartevents,Restraint/Support Systems,,Text,,
65397,0.8936335934190569,223907,Pupil Size Right,Pupil Size Right,chartevents,Neurological,,Text,,
65366,0.8932099861986035,224733,Pupil Size Left,Pupil Size Left,chartevents,Neurological,,Text,,
65334,0.8927727142291032,223792,Pain Management,Pain Management,chartevents,Pain/Sedation,,Text,,
65234,0.8914062393244148,227121,Pupil Response Right,Pupil Response R,chartevents,Neurological,,Text,,
65201,0.8909553026058676,227288,Pupil Response Left,Pupil Response L,chartevents,Neurological,,Text,,
65102,0.8896024924502262,220001,Problem List,Problem List,chartevents,General,,Text,,
64794,0.8853937497437859,223782,Pain Type,Pain Type,chartevents,Pain/Sedation,,Text,,
64465,0.8808980473073612,224771,RLE Temp,RLE Temp,chartevents,Cardiovascular,,Text,,
64388,0.8798458616307512,224773,LLE Temp,LLE Temp,chartevents,Cardiovascular,,Text,,
64214,0.8774681952965934,224089,Anti Embolic Device,Anti Embolic Device,chartevents,Treatments,,Text,,
64149,0.876579986608546,223979,RLE Color,RLE Color,chartevents,Cardiovascular,,Text,,
64088,0.8757464369166861,224767,RUE Temp,RUE Temp,chartevents,Cardiovascular,,Text,,
64073,0.8755414656809828,223983,LLE Color,LLE Color,chartevents,Cardiovascular,,Text,,
64029,0.8749402167229199,224769,LUE Temp,LUE Temp,chartevents,Cardiovascular,,Text,,
63803,0.8718519834383242,223976,RUE Color,RUE Color,chartevents,Cardiovascular,,Text,,
63737,0.8709501100012298,223982,LUE Color,LUE Color,chartevents,Cardiovascular,,Text,,
62911,0.8596630272885039,228096,Richmond-RAS Scale,Richmond-RAS Scale,chartevents,Pain/Sedation,,Text,,
62617,0.8556455910687201,224000,Nares R,Nares R,chartevents,GI/GU,,Text,,
62322,0.8516144900998893,224879,Nares L,Nares L,chartevents,GI/GU,,Text,,
61849,0.8451510638007133,223795,Pain Assessment Method,Pain Assessment Method,chartevents,Pain/Sedation,,Text,,
61636,0.8422404722537271,223992,Cough Type,Cough Type,chartevents,Pulmonary,,Text,,
61604,0.8418032002842267,227465,Prothrombin time,PT,chartevents,Labs,None,Numeric with tag,,
61603,0.8417895355351799,227467,INR,INR,chartevents,Labs,None,Numeric with tag,,
61190,0.8361459941788169,227466,PTT,PTT,chartevents,Labs,None,Numeric with tag,,
60871,0.831786939232861,223951,Capillary Refill R,Capillary Refill R,chartevents,Cardiovascular (Pulses),,Text,,
60717,0.8296825678796409,224308,Capillary Refill L,Capillary Refill L,chartevents,Cardiovascular (Pulses),,Text,,
60666,0.8289856656782498,226168,Oral Care,Oral Care,chartevents,Treatments,,Text,,
58990,0.8060835462756727,227968,All Medications Tolerated without Adverse Side Effects,All Medications Tolerated,chartevents,GI/GU,,Text,,
58690,0.8019841215616075,223784,Pain Cause,Pain Cause,chartevents,Pain/Sedation,,Text,,
58659,0.8015605143411542,224024,Family Communication,Family Communication,chartevents,Restraint/Support Systems,,Text,,
58632,0.8011915661168882,226531,Admission Weight (lbs.),Admission Weight (lbs.),chartevents,General,None,Numeric,,
58546,0.8000163976988562,225054,Anti Embolic Device Status,Anti Embolic Device Status,chartevents,Treatments,,Text,,
57482,0.7854771047129719,224409,Pain Level Response,Pain Level Response,chartevents,Pain/Sedation,,Text,,
57045,0.7795056093794838,224862,Edema Amount,Edema Amount,chartevents,Skin - Incisions,,Text,,
56115,0.7667973927658819,228299,Goal Richmond-RAS Scale,Goal Richmond-RAS Scale,chartevents,Pain/Sedation,,Text,,
55675,0.760784903185253,223936,Radial Pulse R,Radial Pulse R,chartevents,Cardiovascular (Pulses),,Text,,
55257,0.7550730380836556,223948,Radial Pulse L,Radial Pulse L,chartevents,Cardiovascular (Pulses),,Text,,
54964,0.7510692666129186,224088,Pressure Reducing Device,Pressure Reducing Device,chartevents,Treatments,,Text,,
54786,0.7486369412825733,228298,Daily Wake Up,Daily Wake Up,chartevents,Pain/Sedation,,Text,,
54465,0.7442505568385237,228305,ST Segment Monitoring On,ST Segment Monitoring On,chartevents,Alarms,,Checkbox,,
54357,0.7427747639414602,223796,Untoward Effect,Untoward Effect,chartevents,Pain/Sedation,,Text,,
54196,0.7405747393449119,223834,O2 Flow,O2 Flow,chartevents,Respiratory,L/min,Numeric,,
53891,0.7364069908856123,225664,Glucose finger stick (range 70-100),Glucose FS (range 70 -100),chartevents,Labs,None,Numeric,,
53405,0.7297659228488269,228332,Delirium assessment,Delirium assessment,chartevents,Pain/Sedation,,Text,,
53281,0.7280714939670133,224087,Therapeutic Bed,Therapeutic Bed,chartevents,Treatments,,Text,,
53147,0.7262404175947309,225103,Intravenous  / IV access prior to admission,Intravenous  / IV access prior to admission,chartevents,Adm History/FHPA,,Checkbox,,
51340,0.7015482160670119,224005,Flatus,Flatus,chartevents,GI/GU,,Text,,
49469,0.6759814706002925,227368,20 Gauge Dressing Occlusive,20 Gauge Dressing Occlusive,chartevents,Access Lines - Peripheral,,Checkbox,,
49381,0.6747789726841666,228412,Strength R Arm,Strength R Arm,chartevents,Neurological,,Text,,
49373,0.6746696546917916,228409,Strength L Arm,Strength L Arm,chartevents,Neurological,,Text,,
49362,0.6745193424522758,228411,Strength R Leg,Strength R Leg,chartevents,Neurological,,Text,,
49359,0.6744783482051352,228410,Strength L Leg,Strength L Leg,chartevents,Neurological,,Text,,
49288,0.6735081510228065,226138,20 Gauge placed in outside facility,20 Gauge placed in outside facility,chartevents,Access Lines - Peripheral,,Checkbox,,
49243,0.6728932373156967,228397,Commands Response,Commands Response,chartevents,Neurological,,Text,,
49131,0.6713627854224458,228236,Insulin pump,Insulin pump,chartevents,Adm History/FHPA,,Checkbox,,
48996,0.6695180443011164,228414,Speech,Speech,chartevents,Neurological,,Text,,
48715,0.6656782498189421,228398,Commands,Commands,chartevents,Neurological,,Text,,
47761,0.6526420792282149,225072,Living situation,Living situation,chartevents,Adm History/FHPA,,Text,,
45943,0.6277995654609803,228868,Assistance,Assistance,chartevents,Treatments,,Text,,
44396,0.6066601986854512,225092,Self ADL,Self ADL,chartevents,Adm History/FHPA,,Checkbox,,
43148,0.5896065918749402,228393,Bath,Bath,chartevents,Treatments,,Text,,
43031,0.5880078162364548,228100,20 Gauge placed in the field,20 Gauge placed in the field,chartevents,Access Lines - Peripheral,,Checkbox,,
42865,0.5857394678946721,228879,Education Readiness/Motivation,Education Readiness/Motivation,chartevents,Restraint/Support Systems,,Text,,
42777,0.5845369699785463,228880,Education Existing Knowledge,Education Existing Knowledge,chartevents,Restraint/Support Systems,,Text,,
42746,0.584113362758093,225094,History of slips / falls,History of slips / falls,chartevents,Adm History/FHPA,,Checkbox,,
42596,0.5820636504010603,225099,Judgement,Judgement,chartevents,Adm History/FHPA,,Text,,
42297,0.5779778904360422,225097,Balance,Balance,chartevents,Adm History/FHPA,,Text,,
42191,0.5765294270370724,228399,Facial Droop,Facial Droop,chartevents,Neurological,,Text,,
41811,0.5713368223992566,227349,High risk (>51) interventions,High risk (>51) interventions,chartevents,Restraint/Support Systems,,Checkbox,,
41708,0.5699293532474277,225668,Lactic Acid,Lactic Acid,chartevents,Labs,None,Numeric,,
41385,0.5655156393052841,223985,Respiratory Pattern,Respiratory Pattern,chartevents,Pulmonary,,Text,,
41310,0.5644907831267679,223990,Respiratory Effort,Respiratory Effort,chartevents,Pulmonary,,Text,,
41300,0.564354135636299,224651,Ectopy Frequency 1,Ectopy Frequency 1,chartevents,Routine Vital Signs,,Text,,
40415,0.552260832729807,224084,Activity,Activity ,chartevents,Treatments,,Text,,
40307,0.5507850398327435,228648,Home TF,Home TF,chartevents,Adm History/FHPA,,Checkbox,,
40120,0.5482297317609762,224640,Service,Service,chartevents,General,,Text,,
39952,0.5459340539210997,224017,GU Catheter Size,GU Catheter Size,chartevents,GI/GU,,Text,,
39927,0.5455924351949276,225106,ETOH,ETOH,chartevents,Adm History/FHPA,,Checkbox,,
39500,0.5397575873519083,228649,Pressure Ulcer Present,Pressure Ulcer Present,chartevents,Adm History/FHPA,,Checkbox,,
39341,0.5375848922534537,228013,20 G Phlebitis Scale,20 G Phlebitis Scale,chartevents,Access Lines - Peripheral,,Text,,
39287,0.536846995804922,225118,Difficulty swallowing,Difficulty swallowing,chartevents,Adm History/FHPA,,Checkbox,,
39204,0.5357128216340307,228014,20 G Infiltration Scale,20 G Infiltration Scale,chartevents,Access Lines - Peripheral,,Text,,
38787,0.5300146212814801,227367,18 Gauge Dressing Occlusive,18 Gauge Dressing Occlusive,chartevents,Access Lines - Peripheral,,Checkbox,,
38670,0.5284158456429948,226137,18 Gauge placed in outside facility,18 Gauge placed in outside facility,chartevents,Access Lines - Peripheral,,Checkbox,,
38431,0.5251499706207895,225184,Eye Care,Eye Care,chartevents,Treatments,,Checkbox,,
38235,0.5224716798076003,225087,Visual / hearing deficit,Visual / hearing deficit,chartevents,Adm History/FHPA,,Checkbox,,
37778,0.5162268894931744,223905,Cough Reflex,Cough Reflex,chartevents,Neurological,,Text,,
37758,0.5159535945122368,225113,Currently experiencing pain,Currently experiencing pain,chartevents,Adm History/FHPA,,Checkbox,,
37543,0.5130156734671568,225126,Dialysis patient,Dialysis patient,chartevents,Adm History/FHPA,,Checkbox,,
37529,0.5128243669805004,223904,Gag Reflex,Gag Reflex,chartevents,Neurological,,Text,,
36827,0.503231713149588,225120,Appetite,Appetite,chartevents,Adm History/FHPA,,Text,,
36802,0.5028900944234159,224639,Daily Weight,Daily Weight,chartevents,General,kg,Numeric,,
36233,0.49511485221573903,227687,Tobacco Use History,Tobacco Use History,chartevents,Adm History/FHPA,,Text,,
36200,0.4946639154971919,223835,Inspired O2 Fraction,FiO2,chartevents,Respiratory,None,Numeric,,
36075,0.4929558218663314,225110,Recreational drug use,Recreational drug use,chartevents,Adm History/FHPA,,Checkbox,,
34871,0.4765034640138834,220644,ALT,ALT,chartevents,Labs,None,Numeric,,
34859,0.4763394870253208,220587,AST,AST,chartevents,Labs,None,Numeric,,
34835,0.47601153304819555,225101,Use of assistive devices,Use of assistive devices,chartevents,Adm History/FHPA,,Text,,
34728,0.474549404900179,225690,Total Bilirubin,Total Bilirubin,chartevents,Labs,None,Numeric,,
34565,0.47232205080553696,225067,Is the spokesperson the Health Care Proxy,Is the spokesperson the Health Care Proxy,chartevents,Adm History/FHPA,,Checkbox,,
34378,0.46976674273376967,225612,Alkaline Phosphate,Alkaline Phosphate,chartevents,Labs,None,Numeric,,
34177,0.46702012817534605,223758,Code Status,Code Status,chartevents,General,,Text,,
34066,0.46550334103114194,225122,Special diet,Special diet,chartevents,Adm History/FHPA,,Checkbox,,
33460,0.4572225031087304,228099,18 Gauge placed in the field,18 Gauge placed in the field,chartevents,Access Lines - Peripheral,,Checkbox,,
33400,0.4564026181659174,225124,Unintentional weight loss >10 lbs.,Unintentional weight loss >10 lbs.,chartevents,Adm History/FHPA,,Checkbox,,
32928,0.44995285661578827,225074,Any fear in relationships,Any fear in relationships,chartevents,Adm History/FHPA,,Checkbox,,
32672,0.446454680859786,225078,Social work consult,Social work consult,chartevents,Adm History/FHPA,,Checkbox,,
32618,0.4457167844112543,223830,PH (Arterial),PH (Arterial),chartevents,Labs,None,Numeric,,
32370,0.4423279266476271,225698,TCO2 (calc) Arterial,TCO2 (calc) Arterial,chartevents,Labs,None,Numeric,,
32370,0.4423279266476271,220224,Arterial O2 pressure,PO2 (Arterial),chartevents,Labs,mmHg,Numeric,,
32370,0.4423279266476271,220235,Arterial CO2 Pressure,PCO2 (Arterial),chartevents,Labs,mmHg,Numeric,,
32370,0.4423279266476271,224828,Arterial Base Excess,Arterial Base Excess,chartevents,Labs,None,Numeric,,
31239,0.4268730954756016,224794,Stool Color,Stool Color,chartevents,GI/GU,,Text,,
31233,0.4267911069813203,229321,Activity / Mobility (JH-HLM),Activity / Mobility (JH-HLM),chartevents,Treatments,,Text,,
31105,0.4250420191033192,224011,Stool Consistency,Stool Consistency,chartevents,GI/GU,,Text,,
31040,0.4241538104152717,229322,Breathing pattern/effort,Breathing pattern/effort,chartevents,Pulmonary,,Text,,
30868,0.4218034735792077,225811,CV - past medical history,CV - PMH,chartevents,Adm History/FHPA,,Text,,
30806,0.4209562591383009,225667,Ionized Calcium,Ionized Calcium,chartevents,Labs,None,Numeric,,
30670,0.41909785326792476,226180,Sexuality / reproductive problems,Sexuality / reproductive problems,chartevents,Adm History/FHPA,,Checkbox,,
30279,0.4137549363905932,228011,18 G Phlebitis Scale,18 G Phlebitis Scale,chartevents,Access Lines - Peripheral,,Text,,
30161,0.4121424960030609,228012,18 G Infiltration Scale,18 G Infiltration Scale,chartevents,Access Lines - Peripheral,,Text,,
30152,0.41201951326163894,220339,PEEP set,PEEP set,chartevents,Respiratory,cmH2O,Numeric,,
30120,0.41158224129213866,224687,Minute Volume,Minute Volume,chartevents,Respiratory,L/min,Numeric,,12.100000381469727
30094,0.4112269578169197,224785,GI #1 Tube Type,GI #1 Tube Type,chartevents,GI/GU,,Text,,
29998,0.4099151419084189,224685,Tidal Volume (observed),Tidal Volume (observed),chartevents,Respiratory,mL,Numeric,299.0,750.0
29984,0.4097238354217625,220293,Minute Volume Alarm - High,MV Alarm - High,chartevents,Alarms,L/min,Numeric,,
29982,0.4096965059236687,224697,Mean Airway Pressure,Mean Airway Pressure,chartevents,Respiratory,cmH2O,Numeric,,
29970,0.4095325289351061,223873,Paw High,Paw High,chartevents,Respiratory,cmH2O,Numeric,,
29961,0.40940954619368414,223876,Apnea Interval,Apnea Interval,chartevents,Respiratory,sec,Numeric,,
29956,0.4093412224484497,224695,Peak Insp. Pressure,Peak Insp. Pressure,chartevents,Respiratory,cmH2O,Numeric,,
29954,0.409313892950356,220292,Minute Volume Alarm - Low,MV Alarm - Low,chartevents,Alarms,L/min,Numeric,,
29947,0.40921823970702775,224689,Respiratory Rate (spontaneous),Respiratory Rate (spontaneous),chartevents,Respiratory,insp/min,Numeric,,
29851,0.40790642379852693,223848,Ventilator Type,Ventilator Type,chartevents,Respiratory,,Text,,
29823,0.4075238108252142,223874,Vti High,Vti High,chartevents,Respiratory,mL,Numeric,,
29724,0.4061710006695727,224690,Respiratory Rate (Total),Respiratory Rate (Total),chartevents,Respiratory,insp/min,Numeric,,36.0
29695,0.40577472294721306,224007,GI #1 Intub Site,GI #1 Intub Site,chartevents,GI/GU,,Text,,
29523,0.40342438611114906,225076,Emotional / physical / sexual harm by partner or close relation,Emotional / physical / sexual harm,chartevents,Adm History/FHPA,,Checkbox,,
29468,0.4026728249135705,225641,Differential-Lymphs,Differential-Lymphs,chartevents,Labs,None,Numeric,,
29467,0.4026591601645236,225642,Differential-Monos,Differential-Monos,chartevents,Labs,None,Numeric,,
29466,0.4026454954154767,225640,Differential-Eos,Differential-Eos,chartevents,Labs,None,Numeric,,
29466,0.4026454954154767,225643,Differential-Neuts,Differential-Neuts,chartevents,Labs,None,Numeric,,
29466,0.4026454954154767,225639,Differential-Basos,Differential-Basos,chartevents,Labs,None,Numeric,,
29422,0.4020442464574138,229326,CAM-ICU MS Change,CAM-ICU MS Change,chartevents,Pain/Sedation,,Text,,
29331,0.4008007542941474,224865,Flow Sensitivity,Flow Sensitivity,chartevents,Respiratory,,Text,,
29328,0.40075976004700675,224786,GI #1 Tube Status,GI #1 Tube Status,chartevents,GI/GU,,Text,,
29283,0.40014484633989694,227945,Restraint (Non-violent),Restraint (Non-violent),chartevents,Restraint/Support Systems,,Text,,
29280,0.40010385209275634,224692,Flow Pattern,Flow Pattern,chartevents,Respiratory,,Text,,
29220,0.3992839671499433,223875,Fspn High,Fspn High,chartevents,Respiratory,insp/min,Numeric,,
29167,0.3985597354504585,225978,Slope,Slope,chartevents,Respiratory,,Text,,
28901,0.3949249122039874,224735,Flow Rate (variable/fixed),Flow Rate (variable/fixed),chartevents,Respiratory,,Text,,
28786,0.3933534660635957,227517,Humidification,Humidification,chartevents,Respiratory,,Text,,
28723,0.3924925868736421,229323,Current Dyspnea Assessment,Current Dyspnea Assessment,chartevents,Pulmonary,,Text,,
28494,0.3893633593419057,227948,Restraint Device (Non-violent),Restraint Device (Non-violent),chartevents,Restraint/Support Systems,,Text,,
28448,0.38873478088574903,227950,Restraint Location,Restraint Location,chartevents,Restraint/Support Systems,,Text,,
28363,0.38757327721676393,220056,Arterial Blood Pressure Alarm - Low,ABP Alarm - Low,chartevents,Alarms,mmHg,Numeric,,
28354,0.38745029447534196,227239,ABP Alarm Source,ABP Alarm Source,chartevents,Alarms,,Text,,
28342,0.38728631748677933,224373,Sputum Amount,Sputum Amount,chartevents,Respiratory,,Text,,
28337,0.3872179937415449,220058,Arterial Blood Pressure Alarm - High,ABP Alarm - High,chartevents,Alarms,mmHg,Numeric,,
28202,0.38537325262021566,224738,Inspiratory Time,IT,chartevents,Respiratory,sec,Numeric,,
27826,0.3802353069785873,227951,Circulation/Skin Integrity,Circulation/Skin Integrity,chartevents,Restraint/Support Systems,,Text,,
27802,0.3799073530014621,227959,Restraints Evaluated,Restraints Evaluated,chartevents,Restraint/Support Systems,,Text,,
27775,0.37953840477719625,227957,Signs of Injury from Intervention,Signs of Injury from Intervention,chartevents,Restraint/Support Systems,,Text,,
27742,0.3790874680586491,227947,Reason for Restraint (Non-violent),Reason for Restraint (Non-violent),chartevents,Restraint/Support Systems,,Text,,
27737,0.37901914431341466,220052,Arterial Blood Pressure mean,ABPm,chartevents,Routine Vital Signs,mmHg,Numeric,,
27662,0.3779942881348984,227954,Status and Comfort,Status and Comfort,chartevents,Restraint/Support Systems,,Text,,
27646,0.37777565215014824,227961,Side  Rails,Side  Rails,chartevents,Restraint/Support Systems,,Text,,
27636,0.3776390046596794,227946,Restraint Ordered (Non-violent),Restraint Ordered (Non-violent),chartevents,Restraint/Support Systems,,Text,,
27622,0.37744769817302304,224688,Respiratory Rate (Set),Respiratory Rate (Set),chartevents,Respiratory,insp/min,Numeric,,
27589,0.3769967614544759,224289,Arterial line Site Appear,Arterial line Site Appear,chartevents,Access Lines - Invasive,,Text,,
27570,0.3767371312225851,227952,Position Change,Position Change,chartevents,Restraint/Support Systems,,Text,,
27570,0.3767371312225851,223837,ETT Size (ID),ETT Size (ID),chartevents,Respiratory,,Text,,
27552,0.3764911657397412,223838,ETT Location,ETT Location,chartevents,Respiratory,,Text,,
